,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
36,2012-02-21,34304048.84956148,33748968.42785126,36700647.35699578,34304048.84956148,34304048.84956148,886099.9801388003,886099.9801388003,886099.9801388003,647695.6421769161,647695.6421769161,647695.6421769161,238404.33796188424,238404.33796188424,238404.33796188424,0.0,0.0,0.0,35190148.82970028
37,2012-02-22,34290084.71207415,33692174.588353865,36639725.13078326,34290084.71207415,34290084.71207415,881741.8258346159,881741.8258346159,881741.8258346159,638617.2151337242,638617.2151337242,638617.2151337242,243124.61070089176,243124.61070089176,243124.61070089176,0.0,0.0,0.0,35171826.53790877
38,2012-02-23,34276120.57458681,33696828.798562266,36620756.27247095,34276120.57458681,34276120.57458681,892104.7319432823,892104.7319432823,892104.7319432823,648037.5147051356,648037.5147051356,648037.5147051356,244067.21723814678,244067.21723814678,244067.21723814678,0.0,0.0,0.0,35168225.30653009
39,2012-02-24,34262156.43709947,33731668.15913797,36621636.44949837,34262156.43709947,34262156.43709947,886534.0130306265,886534.0130306265,886534.0130306265,645406.8827422234,645406.8827422234,645406.8827422234,241127.130288403,241127.130288403,241127.130288403,0.0,0.0,0.0,35148690.4501301
40,2012-02-27,34220264.02463746,33593780.8697212,36526158.08753618,34220264.02463746,34220264.02463746,850201.7524907273,850201.7524907273,850201.7524907273,641098.2329899549,641098.2329899549,641098.2329899549,209103.51950077247,209103.51950077247,209103.51950077247,0.0,0.0,0.0,35070465.77712819
41,2012-02-28,34206299.88715013,33653261.04688078,36595278.84462695,34206299.88715013,34206299.88715013,838805.6077224967,838805.6077224967,838805.6077224967,647695.6421783764,647695.6421783764,647695.6421783764,191109.96554412026,191109.96554412026,191109.96554412026,0.0,0.0,0.0,35045105.49487263
42,2012-02-29,34192335.749662794,33504113.31177454,36574772.95286279,34192335.749662794,34192335.749662794,808467.0438789272,808467.0438789272,808467.0438789272,638617.2151337318,638617.2151337318,638617.2151337318,169849.8287451955,169849.8287451955,169849.8287451955,0.0,0.0,0.0,35000802.79354172
43,2012-03-01,34178371.61217545,33498880.170913536,36436576.01391121,34178371.61217545,34178371.61217545,793698.1755592427,793698.1755592427,793698.1755592427,648037.5147048885,648037.5147048885,648037.5147048885,145660.6608543543,145660.6608543543,145660.6608543543,0.0,0.0,0.0,34972069.787734695
44,2012-03-02,34164407.47468811,33418445.839600973,36390411.70798911,34164407.47468811,34164407.47468811,764345.3842225556,764345.3842225556,764345.3842225556,645406.8827422545,645406.8827422545,645406.8827422545,118938.50148030093,118938.50148030093,118938.50148030093,0.0,0.0,0.0,34928752.858910665
45,2012-03-05,34122515.06222611,33335398.85331772,36153640.70607988,34122515.06222611,34122515.06222611,669319.4108495394,669319.4108495394,669319.4108495394,641098.2329865883,641098.2329865883,641098.2329865883,28221.17786295118,28221.17786295118,28221.17786295118,0.0,0.0,0.0,34791834.47307565
46,2012-03-06,34108550.92473877,33259129.422901377,36213127.510630675,34108550.92473877,34108550.92473877,643865.1117106163,643865.1117106163,643865.1117106163,647695.642177735,647695.642177735,647695.642177735,-3830.5304671186836,-3830.5304671186836,-3830.5304671186836,0.0,0.0,0.0,34752416.03644939
47,2012-03-07,34094586.787251435,33323302.903179187,36051802.22012889,34094586.787251435,34094586.787251435,602718.2817731019,602718.2817731019,602718.2817731019,638617.215133727,638617.215133727,638617.215133727,-35898.933360624964,-35898.933360624964,-35898.933360624964,0.0,0.0,0.0,34697305.06902454
48,2012-03-08,34080622.64976409,33149383.742488444,36179491.29058382,34080622.64976409,34080622.64976409,580584.5536958842,580584.5536958842,580584.5536958842,648037.5147055283,648037.5147055283,648037.5147055283,-67452.96100964416,-67452.96100964416,-67452.96100964416,0.0,0.0,0.0,34661207.20345998
49,2012-03-09,34066658.51227676,33166855.324145336,36128839.15445735,34066658.51227676,34066658.51227676,547426.8186003607,547426.8186003607,547426.8186003607,645406.8827390758,645406.8827390758,645406.8827390758,-97980.06413871513,-97980.06413871513,-97980.06413871513,0.0,0.0,0.0,34614085.330877125
50,2012-03-12,34024766.09981475,32990506.284911186,35973436.187790915,34024766.09981475,34024766.09981475,462312.4074337567,462312.4074337567,462312.4074337567,641098.232983222,641098.232983222,641098.232983222,-178785.82554946534,-178785.82554946534,-178785.82554946534,0.0,0.0,0.0,34487078.507248506
51,2012-03-13,34010801.96232741,32966492.62938676,35911519.405856736,34010801.96232741,34010801.96232741,446864.67599463573,446864.67599463573,446864.67599463573,647695.6421770939,647695.6421770939,647695.6421770939,-200830.9661824581,-200830.9661824581,-200830.9661824581,0.0,0.0,0.0,34457666.63832205
52,2012-03-14,33996837.82484007,33006272.369764674,35801216.73804597,33996837.82484007,33996837.82484007,418686.58782964846,418686.58782964846,418686.58782964846,638617.2151337288,638617.2151337288,638617.2151337288,-219930.62730408038,-219930.62730408038,-219930.62730408038,0.0,0.0,0.0,34415524.41266972
53,2012-03-15,33982873.68735274,32975118.573686086,35883447.746068165,33982873.68735274,33982873.68735274,412150.61864098493,412150.61864098493,412150.61864098493,648037.514706168,648037.514706168,648037.514706168,-235886.89606518313,-235886.89606518313,-235886.89606518313,0.0,0.0,0.0,34395024.30599372
54,2012-03-16,33968909.5498654,32929770.920875695,35831578.76362526,33968909.5498654,33968909.5498654,396831.2076573906,396831.2076573906,396831.2076573906,645406.8827424347,645406.8827424347,645406.8827424347,-248575.67508504403,-248575.67508504403,-248575.67508504403,0.0,0.0,0.0,34365740.75752279
55,2012-03-19,33927017.13740339,32899374.65373458,35713152.7717096,33927017.13740339,33927017.13740339,374174.8691604012,374174.8691604012,374174.8691604012,641098.2329847983,641098.2329847983,641098.2329847983,-266923.3638243971,-266923.3638243971,-266923.3638243971,0.0,0.0,0.0,34301192.00656379
